order_id,date,region,sales_rep,product_category,product_name,units_sold,unit_price,revenue,discount_pct,customer_type,customer_satisfaction
1001,2024-01-05,North,Alice Johnson,Electronics,Laptop Pro 15,3,1299.99,3899.97,5,Enterprise,4.5
1002,2024-01-07,South,Bob Smith,Office Supplies,Ergonomic Chair,12,249.99,2999.88,0,SMB,4.8
1003,2024-01-09,East,Carol White,Electronics,Wireless Mouse,45,29.99,1349.55,10,Consumer,4.2
1004,2024-01-12,West,David Lee,Software,Project Manager Pro,8,499.99,3999.92,15,Enterprise,4.7
1005,2024-01-15,North,Alice Johnson,Office Supplies,Standing Desk,5,599.99,2999.95,0,SMB,4.9
1006,2024-01-18,South,Bob Smith,Electronics,4K Monitor,7,449.99,3149.93,5,Enterprise,4.6
1007,2024-01-20,East,Carol White,Software,Analytics Suite,3,999.99,2999.97,20,Enterprise,4.8
1008,2024-01-22,West,David Lee,Office Supplies,Whiteboard XL,15,89.99,1349.85,0,Consumer,3.9
1009,2024-01-25,North,Eve Martinez,Electronics,Laptop Pro 15,2,1299.99,2599.98,5,Consumer,4.1
1010,2024-01-28,South,Frank Chen,Software,Project Manager Pro,6,499.99,2999.94,10,SMB,4.5
1011,2024-02-02,East,Carol White,Electronics,Wireless Keyboard,30,79.99,2399.70,0,Consumer,4.3
1012,2024-02-05,West,David Lee,Electronics,Laptop Pro 15,4,1299.99,5199.96,5,Enterprise,4.7
1013,2024-02-08,North,Alice Johnson,Software,Analytics Suite,2,999.99,1999.98,10,Enterprise,4.9
1014,2024-02-10,South,Bob Smith,Office Supplies,Ergonomic Chair,20,249.99,4999.80,5,Enterprise,4.6
1015,2024-02-14,East,Eve Martinez,Electronics,4K Monitor,5,449.99,2249.95,0,SMB,4.4
1016,2024-02-18,West,Frank Chen,Office Supplies,Standing Desk,8,599.99,4799.92,10,Enterprise,4.8
1017,2024-02-20,North,Alice Johnson,Electronics,Wireless Mouse,60,29.99,1799.40,15,Consumer,4.0
1018,2024-02-22,South,Bob Smith,Software,Analytics Suite,4,999.99,3999.96,0,Enterprise,5.0
1019,2024-02-25,East,Carol White,Office Supplies,Whiteboard XL,25,89.99,2249.75,5,SMB,4.2
1020,2024-02-28,West,David Lee,Software,Project Manager Pro,10,499.99,4999.90,20,Enterprise,4.6
1021,2024-03-03,North,Eve Martinez,Electronics,Laptop Pro 15,6,1299.99,7799.94,0,Enterprise,4.8
1022,2024-03-06,South,Frank Chen,Office Supplies,Ergonomic Chair,18,249.99,4499.82,5,SMB,4.5
1023,2024-03-09,East,Carol White,Electronics,Wireless Mouse,55,29.99,1649.45,10,Consumer,4.1
1024,2024-03-12,West,David Lee,Electronics,4K Monitor,9,449.99,4049.91,0,Enterprise,4.7
1025,2024-03-15,North,Alice Johnson,Software,Project Manager Pro,7,499.99,3499.93,15,Enterprise,4.9
1026,2024-03-18,South,Bob Smith,Electronics,Laptop Pro 15,3,1299.99,3899.97,5,Consumer,4.2
1027,2024-03-21,East,Eve Martinez,Software,Analytics Suite,5,999.99,4999.95,10,Enterprise,4.8
1028,2024-03-24,West,Frank Chen,Office Supplies,Standing Desk,6,599.99,3599.94,0,SMB,4.6
1029,2024-03-27,North,Alice Johnson,Electronics,Wireless Keyboard,40,79.99,3199.60,5,Consumer,4.3
1030,2024-03-30,South,Bob Smith,Office Supplies,Whiteboard XL,30,89.99,2699.70,0,Consumer,3.8
1031,2024-04-02,East,Carol White,Electronics,Laptop Pro 15,5,1299.99,6499.95,5,Enterprise,4.7
1032,2024-04-05,West,David Lee,Software,Analytics Suite,3,999.99,2999.97,20,Enterprise,4.9
1033,2024-04-08,North,Eve Martinez,Office Supplies,Ergonomic Chair,14,249.99,3499.86,0,SMB,4.5
1034,2024-04-11,South,Frank Chen,Electronics,4K Monitor,6,449.99,2699.94,5,Consumer,4.3
1035,2024-04-14,East,Carol White,Software,Project Manager Pro,9,499.99,4499.91,10,Enterprise,4.7
1036,2024-04-17,West,David Lee,Office Supplies,Whiteboard XL,20,89.99,1799.80,0,Consumer,4.0
1037,2024-04-20,North,Alice Johnson,Electronics,Wireless Mouse,70,29.99,2099.30,15,Consumer,4.1
1038,2024-04-23,South,Bob Smith,Electronics,Laptop Pro 15,4,1299.99,5199.96,0,Enterprise,4.8
1039,2024-04-26,East,Eve Martinez,Software,Analytics Suite,6,999.99,5999.94,5,Enterprise,5.0
1040,2024-04-29,West,Frank Chen,Office Supplies,Standing Desk,10,599.99,5999.90,10,SMB,4.7
1041,2024-05-02,North,Alice Johnson,Electronics,4K Monitor,8,449.99,3599.92,0,Enterprise,4.6
1042,2024-05-05,South,Bob Smith,Software,Project Manager Pro,5,499.99,2499.95,15,SMB,4.4
1043,2024-05-08,East,Carol White,Office Supplies,Ergonomic Chair,22,249.99,5499.78,5,Enterprise,4.8
1044,2024-05-11,West,David Lee,Electronics,Wireless Keyboard,35,79.99,2799.65,0,Consumer,4.2
